GRIDCODE,CID,Fracc,Fracv
400862,5030,0.003953197,0.000295502
400863,5030,0.008912931,0.000666243
400864,5030,0.001091881,8.16183E-05
400865,5030,2.64056E-08,1.97382E-09
400866,5030,0.004654561,0.000347929
400873,19017,0.000638177,8.99567E-05
400885,19017,0.000786546,0.000110871
400886,19017,0.002885755,0.000406772
400887,19017,1.48131E-08,2.08804E-09
400888,19017,2.72477E-05,3.8408E-06
400889,19017,0.004192666,0.000590993
400890,19043,0.003474385,0.000637431
400891,19043,0.036052731,0.006614446
400892,19043,0.006384515,0.001171341
400892,19043,0.021564647,0.003956377
400893,19043,0.004877934,0.000894934
400895,19038,0.000301838,4.74356E-05
400895,19038,2.17609E-08,3.41985E-09
400895,19043,0.002032954,0.000372978
400896,19038,0.000834038,0.000131074
400896,19038,0.015251156,0.002396811
400896,19043,0.009575696,0.001756813
400897,19038,0.021317863,0.00335023
400897,19043,0.000161342,2.96007E-05
400898,19038,0.010620743,0.001669114
400899,19038,0.007822862,0.00122941
400899,19038,0.003525448,0.000554045
400900,19038,0.025066111,0.00393929
400901,19038,0.000155408,2.44234E-05
401921,5030,0.000205851,1.53874E-05
401922,5030,2.60904E-05,1.95026E-06
401923,5030,0.006546997,0.000489389
401924,5030,0.017683128,0.001321816
401925,5030,0.014619747,0.001092828
401929,5004,0.000278524,0.000116062
401930,5004,0.003222743,0.001342932
401930,5030,4.75175E-05,3.55194E-06
401931,5004,0.004862003,0.00202602
401931,19017,0.001470745,0.000207314
401932,19017,0.00165857,0.00023379
401940,19017,0.000116958,1.64863E-05
401943,19017,0.003692267,0.000520457
401944,19017,0.003935277,0.000554712
401945,19017,0.000102611,1.44639E-05
401945,19017,4.86289E-05,6.85467E-06
401946,19017,0.003545478,0.000499766
401946,19017,0.000722604,0.000101857
401947,19017,0.005691182,0.000802222
401948,19017,0.004927534,0.000694579
401948,19043,0.018466142,0.003387907
401949,19017,0.000134712,1.89888E-05
401949,19043,0.019552985,0.003587305
401950,19043,0.033166208,0.006084867
401951,19043,0.022006259,0.004037398
401954,19038,0.013535673,0.002127212
401955,19038,0.023472761,0.003688886
401955,19038,0.000737744,0.000115941
401956,19038,0.00436192,0.000685502
401956,19038,0.007199948,0.001131515
401957,19038,0.009413997,0.001479466
401957,19038,0.001687486,0.000265199
401958,19038,0.017617032,0.002768623
401958,19038,0.003675755,0.000577667
401959,19038,0.012617931,0.001982984
401960,19038,0.013485795,0.002119374
401961,19038,0.00271484,0.000426653
402982,5030,0.000950622,7.10591E-05
402982,5030,0.00232324,0.000173662
402983,5030,0.009108097,0.000680831
402984,5030,0.011983169,0.000895743
402985,5030,0.012989065,0.000970934
402986,5030,0.015545151,0.001162002
402987,5004,0.003278261,0.001366067
402987,5030,0.008720674,0.000651871
402988,5004,0.009209147,0.003837495
402989,5004,0.010848317,0.004520545
402990,5004,0.000555406,0.00023144
402990,5004,0.005576116,0.002323594
402991,5004,0.004184647,0.001743762
402991,19017,0.002034494,0.00028678
402992,19017,0.000871355,0.000122825
402996,19017,0.002375391,0.000334832
402997,19017,0.000390221,5.50051E-05
402997,19017,0.000419845,5.91809E-05
402998,19017,0.004660502,0.000656939
402999,19017,0.005456496,0.000769141
403000,19017,0.002802413,0.000395025
403001,19017,0.003059565,0.000431272
403002,19017,0.001257424,0.000177245
403002,19017,0.00129648,0.00018275
403003,19017,0.004268879,0.000601736
403004,19017,0.004051308,0.000571067
403005,5004,1.06619E-05,4.44288E-06
403005,19017,0.000644217,9.08081E-05
403005,19017,0.001127141,0.00015888
403006,5004,0.000135026,5.6266E-05
403006,5004,0.000225648,9.40284E-05
403006,19017,0.002948951,0.000415681
403006,19043,0.004600572,0.000844048
403007,19043,0.004954185,0.000908924
403008,19043,0.013096846,0.002402824
403009,19043,0.012664057,0.002323422
403010,19043,0.003464914,0.000635693
403012,19038,0.003581033,0.000562781
403012,19043,2.5544E-05,4.68645E-06
403013,19038,0.029913297,0.004701055
403014,19038,0.031055482,0.004880556
403015,19038,0.021242871,0.003338445
403016,19038,0.022843845,0.003590048
403016,19038,0.000878766,0.000138103
403017,19038,0.01317234,0.002070112
403017,19038,0.010958737,0.001722232
403018,19038,1.06853E-05,1.67926E-06
403018,19038,0.002239343,0.000351926
403019,19038,0.015038826,0.002363442
403020,19038,0.000321532,5.05307E-05
404041,5030,0.010521959,0.000786518
404042,5030,0.002526026,0.000188821
404042,5030,0.001861506,0.000139148
404043,5030,0.004096226,0.000306193
404044,5030,0.002901279,0.000216871
404044,5030,4.0539E-05,3.03029E-06
404045,5030,0.007164178,0.000535523
404046,5004,0.002497623,0.001040771
404046,5030,0.004658383,0.000348215
404047,5004,0.010087098,0.004203341
404048,5004,0.004086631,0.001702918
404049,5004,0.000651143,0.000271334
404051,5004,0.000388179,0.000161756
404053,19017,0.001175922,0.000165756
404054,19017,0.003652074,0.000514792
404055,19017,0.00129149,0.000182047
404056,19017,0.003270637,0.000461025
404057,19017,0.006169176,0.000869599
404058,19017,0.000182328,2.57008E-05
404058,19017,0.002531331,0.000356813
404059,19017,0.002973213,0.0004191
404060,19017,0.003947244,0.000556399
404061,5004,0.000349089,0.000145467
404061,19017,0.000241885,3.40958E-05
404061,19017,0.004863395,0.000685538
404062,5004,0.001116483,0.000465244
404062,5004,0.00077622,0.000323454
404062,5004,0.000208154,8.67389E-05
404062,19017,0.000384603,5.42132E-05
404062,19017,0.001095332,0.000154397
404063,5004,0.00106162,0.000442382
404063,5004,0.003614967,0.001506374
404064,5004,0.000386718,0.000161147
404064,5004,0.008590129,0.003579547
404065,5004,0.001284175,0.000535122
404065,5004,4.20841E-10,1.75366E-10
404065,19043,1.40966E-06,2.58624E-07
404066,5004,0.001951711,0.000813287
404066,19043,0.016706707,0.003065111
404067,5004,0.004715213,0.001964852
404067,19043,0.026542615,0.004869664
404068,5004,0.003131953,0.001305099
404068,19043,0.033107795,0.00607415
404070,19038,1.71127E-05,2.68937E-06
404070,19043,0.02316486,0.004249961
404071,19038,0.02281062,0.003584826
404071,19043,0.005337057,0.000979168
404072,19038,0.029957311,0.004707972
404072,19038,7.14984E-05,1.12364E-05
404073,19038,0.025117139,0.003947309
404074,19038,0.011635975,0.001828663
404075,19038,0.01557172,0.00244719
404075,19038,0.012744554,0.002002883
404076,19038,0.003173325,0.000498707
404078,19038,0.000103128,1.62072E-05
405101,5030,0.00757264,0.000566056
405102,5030,0.003480464,0.000260165
405102,5030,0.000458064,3.42403E-05
405103,5030,3.62984E-05,2.71331E-06
405103,5030,0.001130709,8.45206E-05
405104,5030,0.005054875,0.000377853
405105,5004,0.003233944,0.0013476
405105,5030,0.000263393,1.96887E-05
405106,5004,0.004635855,0.001931783
405107,5004,0.00766895,0.003195687
405108,5004,0.000206091,8.5879E-05
405108,5004,6.16021E-05,2.56699E-05
405109,5004,0.006635164,0.002764904
405110,5004,0.004744032,0.001976861
405112,5004,0.000111076,4.6286E-05
405112,19017,0.000918856,0.000129521
405113,5004,0.002566744,0.001069574
405113,19017,0.00034783,4.90296E-05
405113,19017,5.86955E-05,8.27364E-06
405114,19017,0.00294711,0.000415421
405115,19017,0.001410181,0.000198777
405116,5004,0.000198107,8.25523E-05
405116,19017,2.3588E-05,3.32494E-06
405117,5004,0.00264419,0.001101847
405117,19017,7.86793E-06,1.10905E-06
405117,19017,0.000196039,2.76334E-05
405118,5004,3.3218E-06,1.38421E-06
405118,5004,0.003553367,0.001480705
405118,19017,0.000410614,5.78796E-05
405118,19017,0.000261931,3.69214E-05
405119,5004,0.000907936,0.000378341
405119,5004,0.000560865,0.000233715
405119,5004,0.00250075,0.001042074
405119,19017,3.89071E-05,5.4843E-06
405119,19017,0.000771075,0.00010869
405120,5004,0.001138549,0.000474439
405120,5004,0.003796414,0.001581984
405120,19017,0.000368241,5.19068E-05
405121,5004,0.006975317,0.002906648
405121,5004,0.000532522,0.000221905
405122,5004,0.00682323,0.002843272
405123,5004,0.000766041,0.000319213
405123,5004,0.0015113,0.000629766
405123,5004,1.3586E-05,5.66135E-06
405124,5004,0.002911333,0.001213166
405124,5004,0.000146501,6.10476E-05
405125,5004,0.004933828,0.002055949
405126,5004,0.007090862,0.002954796
405127,5004,0.000845726,0.000352418
405128,19043,0.000117777,2.1608E-05
405128,19043,0.041771159,0.007663582
405129,19038,0.00069048,0.000108513
405129,19043,0.032660545,0.005992095
405129,19049,0.010333932,0.005637142
405130,19038,0.011856491,0.001863319
405130,19038,0.011133283,0.001749662
405130,19049,0.005928519,0.003233997
405131,19038,0.007661325,0.001204023
405131,19038,0.011472244,0.001802932
405132,19038,0.009688226,0.001522563
405132,19049,0.000289018,0.000157659
405133,19004,0.063188491,0.009815355
405133,19038,2.54499E-08,3.99961E-09
405134,19038,0.000989224,0.000155463
406158,5030,0.000478902,3.5798E-05
406159,5030,0.009177793,0.000686041
406160,5030,0.000376265,2.81258E-05
406160,5030,0.000444268,3.32091E-05
406161,5030,0.004855167,0.000362924
406162,5030,0.010394555,0.000776994
406163,5030,0.000468321,3.50071E-05
406163,5030,0.018161116,0.001357546
406164,5004,0.001020144,0.000425099
406164,5030,0.000284244,2.12473E-05
406164,5030,0.013332187,0.000996583
406165,5004,0.007237703,0.003015985
406166,5004,0.009029621,0.003762685
406167,5004,0.002384522,0.000993642
406168,5004,0.001310763,0.000546201
406169,5004,8.57341E-05,3.57258E-05
406170,5004,0.0033045,0.001377001
406171,5004,0.000238501,9.93844E-05
406171,5004,0.000690363,0.000287677
406172,5004,0.00740101,0.003084036
406173,5004,2.90087E-05,1.20881E-05
406175,5004,0.0004455,0.000185642
406176,5004,0.000210578,8.77489E-05
406176,5004,0.003744393,0.001560306
406176,5004,0.003910803,0.00162965
406177,5004,0.003137135,0.001307259
406177,5004,0.001690862,0.00070459
406177,5004,0.00427295,0.001780558
406178,5004,0.006789716,0.002829307
406178,5004,0.002348419,0.000978597
406179,5004,0.011700967,0.004875848
406179,5004,5.66201E-05,2.35939E-05
406180,5004,0.002484419,0.001035269
406180,5004,0.003048186,0.001270194
406180,5004,0.000946951,0.000394599
406181,5004,0.004894852,0.002039708
406181,5004,0.004692225,0.001955272
406182,5004,0.010076057,0.00419874
406182,5004,0.002113573,0.000880736
406183,5004,0.005468615,0.002278798
406185,5004,0.001685194,0.000702228
406186,5004,0.001898984,0.000791315
406186,19043,7.28707E-05,1.33693E-05
406186,19043,0.009628195,0.001766445
406186,19049,0.001056926,0.000576551
406186,19049,0.001712038,0.000933914
406187,19043,0.026795858,0.004916125
406187,19043,0.008603579,0.001578463
