GRIDCODE,CID,Fracc,Fracv
405121,5004,0.001516519,0.000362146
405122,5004,0.00346116,0.000826528
405135,19038,0.000138478,4.39335E-05
405136,19038,0.01398942,0.004438269
405137,19038,0.007099135,0.002252264
405137,19038,0.008137474,0.002581687
405138,19038,0.004578017,0.001452417
405139,19038,0.005523248,0.0017523
405139,19038,0.003551482,0.00112674
405140,19038,0.00827476,0.002625242
405140,19038,0.005821419,0.001846897
405141,19038,0.000847815,0.000268977
405141,19038,0.014535693,0.004611579
405142,19038,0.015383508,0.004880556
405143,19022,0.002271862,0.000487257
405143,19038,0.013349969,0.004235397
405144,19022,0.01591888,0.003414197
405144,19038,0.001134551,0.000359946
405145,19022,0.010260039,0.002200519
405146,19022,0.005058238,0.001084864
405147,19022,0.017143422,0.003676831
406157,5030,0.005061079,0.000563879
406158,5030,0.005704493,0.000635565
406160,5030,0.00025694,2.86269E-05
406160,5030,0.108762233,0.000819433
406161,5030,0.169652615,0.001278191
406162,5030,0.099716142,0.000751278
406167,5004,0.016660623,0.003978573
406167,5004,0.001479266,0.00035325
406168,5004,0.020865446,0.004982689
406168,5004,0.000160436,3.83122E-05
406169,5004,0.01885398,0.004502349
406170,5004,0.010018285,0.002392376
406171,5004,0.00210149,0.000501838
406172,5004,0.003342805,0.000798265
406173,5004,0.023262526,0.005555114
406174,5004,0.022316872,0.005329291
406174,19017,0.000291495,3.51927E-05
406175,5004,0.02026042,0.004838208
406176,5004,0.008306124,0.001983511
406177,5004,0.001118714,0.00026715
406178,5004,4.4901E-05,1.07224E-05
406180,5004,0.011215164,0.002678192
406181,5004,0.000571393,0.000136449
406194,19004,0.002004231,0.000658048
406194,19038,0.000670438,0.000212702
406195,19004,0.02179355,0.007155462
406195,19038,0.012241709,0.003883792
406196,19038,0.003481632,0.001104579
406196,19038,0.007490324,0.002376372
406197,19038,0.000228466,7.2483E-05
406197,19038,0.006369401,0.00202075
406198,19038,0.009206264,0.00292077
406199,19038,0.007961962,0.002526004
406200,19038,0.012863314,0.004081002
406200,19038,0.001556663,0.000493865
406201,19022,0.000262759,5.63552E-05
406201,19038,0.002490486,0.000790129
406201,19038,0.012657827,0.004015809
406202,19022,0.001320458,0.000283205
406202,19038,0.014201569,0.004505575
406203,19022,0.016730583,0.003588287
406203,19038,0.000407998,0.000129441
406204,19022,0.016408324,0.003519171
406205,19022,0.013617204,0.002920546
406206,19022,0.017186396,0.003686048
407216,5030,0.008749831,0.00097486
407217,5030,0.007038834,0.00078423
407219,5030,5.31671E-05,4.00569E-07
407220,5030,0.027183041,0.000204801
407221,5030,0.067903856,0.000511599
407222,5030,0.000162834,1.22682E-06
407223,5004,4.52633E-05,1.08089E-05
407224,5004,0.001179978,0.00028178
407225,5004,0.001099734,0.000262618
407226,5004,0.002828609,0.000675475
407227,5004,0.011955817,0.002855061
407228,5004,0.000366158,8.74389E-05
407229,5004,0.015103528,0.003606737
407230,5004,0.01478073,0.003529653
407231,5004,0.02084287,0.004977298
407232,5004,0.023050817,0.005504558
407233,5004,0.019312675,0.004611885
407234,5004,0.012243464,0.002923751
407235,5004,0.001443356,0.000344675
407253,19004,0.022166244,0.007277828
407254,19004,0.139474828,0.045793678
407254,19038,0.000987183,0.000313193
407255,19004,0.040998746,0.013461091
407255,19004,0.000277855,9.12278E-05
407255,19038,0.003807546,0.001207978
407255,19038,0.004575392,0.001451584
407256,19038,0.000442114,0.000140264
407256,19038,0.000219765,6.97226E-05
407256,19038,0.010954026,0.003475263
407257,19038,0.011343395,0.003598794
407257,19038,0.000495313,0.000157143
407258,19038,0.00784211,0.00248798
407259,19038,0.008086521,0.002565521
407260,19022,0.004701077,0.001008262
407260,19022,0.003980127,0.000853637
407260,19038,0.006203757,0.001968198
407260,19038,0.001409223,0.000447089
407261,19022,0.002649693,0.000568292
407261,19022,0.012412451,0.002662157
407261,19038,0.001901413,0.00060324
407262,19022,0.017186396,0.003686048
407263,19022,0.000554548,0.000118936
407263,19022,0.016631848,0.003567111
407264,19022,0.000690474,0.000148089
407264,19022,0.015968429,0.003424824
407265,19022,0.017186396,0.003686048
408275,5030,5.43736E-06,6.05802E-07
408276,5030,0.00344392,0.000383703
408277,5030,0.000549562,6.12293E-05
408282,5004,0.001559779,0.000372477
408282,5030,0.000760294,8.4708E-05
408283,5004,0.011309611,0.002700746
408283,5030,0.004810602,0.000535972
408284,5004,0.003402585,0.000812541
408285,5004,0.013484065,0.003220008
408286,5004,0.020552995,0.004908075
408287,5004,0.012189563,0.002910879
408288,5004,0.022601788,0.005397329
408289,5004,0.023313145,0.005567202
408290,5004,0.017930357,0.004281787
408291,5004,0.003322985,0.000793532
408294,5004,0.001818472,0.000434253
408295,5004,0.003397668,0.000811366
408303,19049,0.029728955,0.002899855
408304,19049,0.000183741,1.79226E-05
408312,19004,0.102518846,0.033659945
408313,19004,0.149038879,0.048933837
408314,19004,0.085830355,0.028180624
408314,19004,0.000116704,3.83174E-05
408314,19038,0.006055169,0.001921057
408314,19038,0.000457048,0.000145002
408315,19038,0.000750023,0.000237951
408315,19038,0.014633485,0.004642604
408316,19038,0.004431762,0.001406016
408316,19038,0.004977829,0.001579261
408317,19038,0.012066332,0.003828152
408318,19038,0.013575898,0.004307075
408319,19022,0.00115814,0.000248392
408319,19022,0.006197179,0.001329138
408319,19038,0.005336652,0.001693101
408319,19038,0.000543302,0.000172367
408320,19022,0.005666273,0.001215272
408320,19022,0.011363556,0.002437196
408321,19022,0.017186396,0.003686048
408322,19022,0.008837964,0.00189552
408322,19022,0.006518329,0.001398017
408323,19022,0.004786929,0.001026675
408323,19022,0.002406374,0.000516106
408324,19022,0.009196067,0.001972324
408324,19022,0.007990329,0.001713724
409334,5030,0.001391163,0.000154996
409335,5030,0.004687393,0.000522245
409336,5030,0.005524205,0.000615478
409337,5030,0.001593253,0.000177512
409342,5004,0.007275528,0.001737403
409342,5030,8.14408E-06,9.07371E-07
409343,5004,0.002682066,0.00064048
409343,5030,0.001223787,0.000136348
409344,5004,0.00398103,0.000950674
409345,5004,0.011909803,0.002844073
409346,5004,0.013872949,0.003312874
409347,5004,0.017748024,0.004238245
409348,5004,0.022324444,0.005331099
409349,5004,0.005000529,0.001194131
409349,5004,0.006255332,0.001493779
409350,5004,0.000425713,0.000101661
409351,5004,0.00189049,0.000451451
409352,5004,0.004152385,0.000991594
409353,5004,0.006224277,0.001486363
409354,5004,3.49044E-05,8.3352E-06
409355,5004,0.002284912,0.000545639
409355,19049,0.000458705,4.47435E-05
409356,19049,0.053688282,0.005236923
409357,19049,0.072355315,0.007057764
409358,19049,0.045884832,0.00447575
409359,19049,0.037699997,0.003677376
409360,19049,0.003176458,0.000309842
409362,19049,0.01694236,0.001652611
409367,19049,8.39098E-06,8.18482E-07
409368,19049,0.002448157,0.000238801
409370,19004,0.00433972,0.001424858
409370,19009,0.001488977,0.000739426
